kodas;ROD_KOD;VLST_KODAS2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4
X00016;1270;SE;;;;;;;;;;31;;;;;;;;;;;;;;;;
X00016;1273;SE;;;;;;;;;;31;;;;;;;;;;;;;;;;
X00016;1280;SE;;;;;;;;31;31;;;;;;;;;;;;;;;;;
X00016;20;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00017;10;PL;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00017;1042;PL;;;;;;;;;-1;;;-1;;;;;;;;;;;;;;
X00017;1043;PL;;;;;;;;-1;-1;;;;;;;;;;;;;;;;;
X00017;20;PL;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00017;3030;PL;96;-55;;;;;;;;;;;;;;;;;;;;;;;;
X00018;10;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00018;1043;DE;;;;;;;;;-26;25;13;700;;;;;;;;;;;;;;
X00018;20;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00018;3030;DE;-6;17;;;;;;;;;;;;;;;;;;;;;;;;
X00019;10;US;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00019;1040;US;;;;;;;;1521;;;;;;;;;;;;;;;;;;
X00019;1043;US;;;;;;;;1521;;;;;;;;;;;;;;;;;;
X00019;20;US;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00019;3030;EE;;;20;20;37;22;;;;;;;;;;;;;;;;;;;;
X00019;3030;US;788;-4315;;;;;;;;;;;;;;;;;;;;;;;;
X00019;3040;EE;;;;;;;;;;;75;;;;;;;;;;;;;;;
X00019;3040;LV;;;;;;;;;;;56;;;;;;;;;;;;;;;
X00019;3043;EE;;;;;;;;;;;75;;;;;;;;;;;;;;;
X00019;3043;LV;;;;;;;-10;;;;56;;;;;;;;;;;;;;;
X00019;3270;EE;;;;;;;;;;;-74;;;;;;;;;;;;;;;
X00019;3270;LV;;;;;;;;;;;-114;;;;;;;;;;;;;;;
X00019;3273;EE;;;;;;;;;;;-74;;;;;;;;;;;;;;;
X00019;3273;LV;;;;;;;;;;;-114;;;;;;;;;;;;;;;
X00020;1000;PL;;;588;;;;400;400;400;462;;;;;;;;;;;;;;;;
X00020;1030;PL;;;;;29;;;;62;;;;;;;;;;;;;;;;;
X00020;1031;PL;;;;;;217;;;;;;;;;;;;;;;;;;;;
X00020;1040;PL;;;;;;0;;;;;;;;;;;;;;;;;;;;
X00020;1050;PL;588;588;588;588;617;400;400;400;462;462;;;;;;;;;;;;;;;;
X00021;1030;PL;-93;;;;;;;;;;;;;;;;;;;;;;;;;
X00021;1050;PL;145;145;;;;;;;;;;;;;;;;;;;;;;;;
X00021;1260;PL;;;55;55;55;55;55;55;27,5;;;;;;;;;;;;;;;;;
X00021;1280;PL;;;55;55;55;55;55;27,5;;;;;;;;;;;;;;;;;;
X00021;3030;PL;-93;;;;;;;;;;;;;;;;;;;;;;;;;
X00022;1000;IM;;;49;46;42;53;52;52;52;36;;;;;;;;;;;;;;;;
X00022;1030;IM;;17;;;15;2;;;;17;;;;;;;;;;;;;;;;
X00022;1031;IM;;;3;5;3;3;;;16;;;;;;;;;;;;;;;;;
X00022;1040;IM;;;;;;0;;;;;;;;;;;;;;;;;;;;
X00022;1050;IM;32;49;46;42;53;52;52;52;36;53;;;;;;;;;;;;;;;;
X00022;1200;IM;43;43;;;;;;;;;;;;;;;;;;;;;;;;
X00022;3030;IM;;17;;;;;;;;;;;;;;;;;;;;;;;;
X00023;10;FI;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00023;1000;FI;;;;;;;;;5225;5407;;;;;;;;;;;;;;;;
X00023;1010;FI;;;;;;;;5421;;;;;;;;;;;;;;;;;;
X00023;1020;SE;;;;;;;;5421;;;;;;;;;;;;;;;;;;
X00023;1030;FI;;;;;;;;123;182;-142;;;;;;;;;;;;;;;;
X00023;1031;FI;;;;;;;;319;;;;;;;;;;;;;;;;;;
X00023;1040;FI;;;;;;;;;;23;1;;;;;;;;;;;;;;;
X00023;1040;SE;;;11;;;-11;-11;;;-22;;;;;;;;;;;;;;;;
X00023;1043;FI;;;;;;;;;;23;1;;;;;;;;;;;;;;;
X00023;1043;SE;;;;;;;-11;;;-22;;;;;;;;;;;;;;;;
X00023;1050;FI;;;;;;;;5225;5407;5288;;;;;;;;;;;;;;;;
X00023;1260;BE;;;;;;;1;;;;;;;;;;;;;;;;;;;
X00023;1280;BE;;;;;;1;;;;;;;;;;;;;;;;;;;;
X00023;20;FI;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00023;2260;SE;;;;;;;;;;;4;;;;;;;;;;;;;;;
X00023;2280;SE;;;;;;;;;;4;;;;;;;;;;;;;;;;
X00023;3030;SE;78;689;;;;;;;;;;;;;;;;;;;;;;;;
X00024;10;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00024;1040;SE;;;;;;;;;;;272;;;;;;;;;;;;;;;
X00024;1043;SE;;;;;;;;;;;272;;;;;;;;;;;;;;;
X00024;1260;AE;;;;;;;227;;;;;;;;;;;;;;;;;;;
X00024;1260;GB;;;;;;;;;;;1;;;;;;;;;;;;;;;
X00024;1270;CH;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1270;FR;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1270;GB;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1270;IT;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1270;NL;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1270;NO;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1273;CH;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1273;FR;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1273;GB;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1273;IT;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1273;NL;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1273;NO;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;1280;AE;;;;;;227;;;;;;;;;;;;;;;;;;;;
X00024;20;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00024;2270;CH;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;2270;KZ;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;2270;LV;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;2273;CH;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;2273;KZ;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;2273;LV;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00024;3030;SE;206;81;;;;;;;;;;;;;;;;;;;;;;;;
X00025;1000;PL;;;3;;;;-7;-7;-7;-7;;;;;;;;;;;;;;;;
X00025;1030;PL;;;;;;-10;;;;;;;;;;;;;;;;;;;;
X00025;1050;PL;3;3;3;3;3;-7;-7;-7;-7;-7;;;;;;;;;;;;;;;;
X00026;10;US;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00026;1040;US;;;;105;;-105;-104;;;;-3;;;;;;;;;;;;;;;
X00026;1043;US;;;;;;;-104;;;;-3;;;;;;;;;;;;;;;
X00026;20;US;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00026;3030;US;67;-6;;;;;;;;;;;;;;;;;;;;;;;;
X00026;3040;RU;;;;;;;;;;;1;;;;;;;;;;;;;;;
X00026;3043;RU;;;;;;;;;;;1;;;;;;;;;;;;;;;
X00027;10;US;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00027;1160;US;;;;717;717;717;;;;;;;;;;;;;;;;;;;;
X00027;1200;US;;;717;717;717;717;;;;;;;;;;;;;;;;;;;;
X00027;20;US;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00027;3030;US;67;72;;;;;;;;;;;;;;;;;;;;;;;;
X00028;10;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00028;1031;SE;;;70;122;87;70;;;200;;;;;;;;;;;;;;;;;
X00028;1040;SE;;;0;;;;;;;139;70;;;;;;;;;;;;;;;
X00028;1043;SE;;;;;;;;;;139;70;;;;;;;;;;;;;;;
X00028;1260;FR;;;;;8;;;;;;;;;;;;;;;;;;;;;
X00028;1260;PL;;;;;;;4;;;;;;;;;;;;;;;;;;;
X00028;1270;SE;;;;;;;;;;;1;;;;;;;;;;;;;;;
X00028;1273;SE;;;;;;;;;;;1;;;;;;;;;;;;;;;
X00028;1280;FR;;;;8;;;;;;;;;;;;;;;;;;;;;;
X00028;1280;PL;;;;;;4;;;;;;;;;;;;;;;;;;;;
X00028;20;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00028;2260;IT;;;;0;;;;;;;;;;;;;;;;;;;;;;
X00028;2260;SE;;;;10;;;;;;;;;;;;;;;;;;;;;;
X00028;2280;IT;;;0;;;;;;;;;;;;;;;;;;;;;;;
X00028;2280;SE;;;10;;;;;;;;;;;;;;;;;;;;;;;
X00028;3030;SE;579;29;;;;;;;;;;;;;;;;;;;;;;;;
X00029;1000;NL;;;-39;;;;-46;-49;-49;-49;;;;;;;;;;;;;;;;
X00029;1030;NL;;;;-8;;;-3;;;;;;;;;;;;;;;;;;;
X00029;1050;NL;-38;-38;-39;-46;-46;-46;-49;-49;-49;-49;;;;;;;;;;;;;;;;
X00030;10;BE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;10;CH;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;10;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;10;IM;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;1040;BE;;;;;;;;;;1;3;;;;;;;;;;;;;;;
X00030;1040;CH;;;;;;;;;;;7;;;;;;;;;;;;;;;
X00030;1040;DE;;;;;;;;;;;15;;;;;;;;;;;;;;;
X00030;1040;IM;;;;;;;;;;;7;;;;;;;;;;;;;;;
